id_analise,data_hora,nome_arquivo,caminho_imagem,resultado,probabilidade_real,probabilidade_ia,confianca,modelo_utilizado,relatorio_json,relatorio_txt,historico_habilitado,imagem_mantida_no_historico
AIDA-2026-0011,2026-06-02 09:35:23,real29.jpg,dataset\reais\real29.jpg,REAL,0.835000,0.165000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0011.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0011.txt,True,True
AIDA-2026-0012,2026-06-02 09:35:26,real30.jpg,dataset\reais\real30.jpg,REAL,0.530000,0.470000,baixa,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0012.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0012.txt,True,True
AIDA-2026-0013,2026-06-02 09:39:18,real25.jpg,dataset\reais\real25.jpg,REAL,0.787500,0.212500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0013.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0013.txt,True,True
AIDA-2026-0014,2026-06-02 09:39:20,real26.jpg,dataset\reais\real26.jpg,REAL,0.652500,0.347500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0014.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0014.txt,True,True
AIDA-2026-0015,2026-06-02 09:39:23,real27.jpg,dataset\reais\real27.jpg,REAL,0.720000,0.280000,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0015.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0015.txt,True,True
AIDA-2026-0016,2026-06-02 09:39:25,real28.jpg,dataset\reais\real28.jpg,REAL,0.772500,0.227500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0016.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0016.txt,True,True
AIDA-2026-0017,2026-06-02 09:39:27,real29.jpg,dataset\reais\real29.jpg,REAL,0.835000,0.165000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0017.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0017.txt,True,True
AIDA-2026-0018,2026-06-02 09:39:31,real30.jpg,dataset\reais\real30.jpg,REAL,0.530000,0.470000,baixa,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0018.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0018.txt,True,True
AIDA-2026-0019,2026-06-02 09:39:42,ia25.png,dataset\ia\ia25.png,IA/MANIPULADA,0.235000,0.765000,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0019.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0019.txt,True,True
AIDA-2026-0020,2026-06-02 09:39:45,ia26.png,dataset\ia\ia26.png,IA/MANIPULADA,0.425000,0.575000,baixa,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0020.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0020.txt,True,True
AIDA-2026-0021,2026-06-02 09:39:47,ia27.png,dataset\ia\ia27.png,IA/MANIPULADA,0.080000,0.920000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0021.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0021.txt,True,True
AIDA-2026-0022,2026-06-02 09:39:50,ia28.png,dataset\ia\ia28.png,IA/MANIPULADA,0.147500,0.852500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0022.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0022.txt,True,True
AIDA-2026-0023,2026-06-02 09:39:52,ia29.png,dataset\ia\ia29.png,IA/MANIPULADA,0.190000,0.810000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0023.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0023.txt,True,True
AIDA-2026-0024,2026-06-02 09:39:55,ia30.png,dataset\ia\ia30.png,IA/MANIPULADA,0.105000,0.895000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0024.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0024.txt,True,True
AIDA-2026-0025,2026-06-02 11:10:53,realteste.jpg,C:\Users\aluno\Downloads\realteste.jpg,IA/MANIPULADA,0.437500,0.562500,baixa,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0025.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0025.txt,True,True
AIDA-2026-0026,2026-06-02 11:11:20,iateste.png,C:\Users\aluno\Downloads\iateste.png,IA/MANIPULADA,0.077500,0.922500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0026.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0026.txt,True,True
AIDA-2026-0027,2026-06-02 11:11:50,realteste.jpg,C:\Users\aluno\Downloads\realteste.jpg,REAL,0.572500,0.427500,baixa,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0027.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0027.txt,True,True
AIDA-2026-0028,2026-06-02 11:24:01,realteste2.jpg,C:\Users\aluno\Downloads\realteste2.jpg,REAL,0.690000,0.310000,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0028.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0028.txt,True,True
AIDA-2026-0029,2026-06-02 11:24:17,iateste2.png,C:\Users\aluno\Downloads\iateste2.png,IA/MANIPULADA,0.117500,0.882500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0029.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0029.txt,True,True
AIDA-2026-0030,2026-06-03 11:10:20,verstappen.jpg,C:\Users\aluno\Downloads\verstappen.jpg,REAL,0.895000,0.105000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0030.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0030.txt,True,True
AIDA-2026-0031,2026-06-03 11:10:42,verstappenia.png,C:\Users\aluno\Downloads\verstappenia.png,IA/MANIPULADA,0.182500,0.817500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0031.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0031.txt,True,True
AIDA-2026-0032,2026-06-03 11:15:55,cebola.png,C:\Users\aluno\Downloads\cebola.png,REAL,0.887500,0.112500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0032.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0032.txt,True,True
AIDA-2026-0033,2026-06-03 11:18:08,forza.png,C:\Users\aluno\Downloads\forza.png,REAL,0.787500,0.212500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0033.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0033.txt,True,True
AIDA-2026-0034,2026-06-03 11:20:04,porscheforza.png,C:\Users\aluno\Downloads\porscheforza.png,IA/MANIPULADA,0.120000,0.880000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0034.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0034.txt,True,True
AIDA-2026-0035,2026-06-03 11:27:07,forzateste.heic,C:\Users\aluno\Downloads\forzateste.heic,REAL,0.647500,0.352500,baixa,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0035.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0035.txt,True,True
AIDA-2026-0036,2026-06-03 11:31:13,forzatesteia.jpg,C:\Users\aluno\Downloads\forzatesteia.jpg,REAL,0.565000,0.435000,baixa,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0036.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0036.txt,True,True
AIDA-2026-0037,2026-06-03 11:31:40,forzatesteia.jpg,C:\Users\aluno\Downloads\forzatesteia.jpg,REAL,0.565000,0.435000,baixa,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0037.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0037.txt,True,True
AIDA-2026-0038,2026-06-03 13:57:54,real204.jpg,C:\Users\aluno\Downloads\real204.jpg,REAL,0.937500,0.062500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0038.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0038.txt,True,True
AIDA-2026-0039,2026-06-03 13:58:22,ia204.png,C:\Users\aluno\Downloads\ia204.png,IA/MANIPULADA,0.060000,0.940000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0039.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0039.txt,True,True
AIDA-2026-0040,2026-06-07 11:59:31,senna.jpg,C:\Users\PedroH\Downloads\senna.jpg,REAL,0.850000,0.150000,alta,random_forest,F:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0040.json,F:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0040.txt,True,True
AIDA-2026-0041,2026-06-07 12:00:56,sennaia.png,C:\Users\PedroH\Downloads\sennaia.png,IA/MANIPULADA,0.052500,0.947500,alta,random_forest,F:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0041.json,F:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0041.txt,True,True
AIDA-2026-0042,2026-06-16 12:01:55,ia1.png,,IA/MANIPULADA,0.030000,0.970000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0042.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0042.txt,False,False
AIDA-2026-0043,2026-06-16 12:04:41,imagem-aida.png,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida.png,REAL,0.747500,0.252500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0043.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0043.txt,True,True
AIDA-2026-0044,2026-06-16 12:04:41,imagem-aida_1.png,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_1.png,REAL,0.747500,0.252500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0044.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0044.txt,True,True
AIDA-2026-0045,2026-06-16 12:06:54,imagem-aida_2.png,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_2.png,REAL,0.747500,0.252500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0045.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0045.txt,True,True
AIDA-2026-0046,2026-06-16 12:08:50,imagem-aida_3.png,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_3.png,REAL,0.747500,0.252500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0046.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0046.txt,True,True
AIDA-2026-0047,2026-06-16 12:08:56,imagem-aida_4.png,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_4.png,REAL,0.747500,0.252500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0047.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0047.txt,True,True
AIDA-2026-0048,2026-06-16 12:08:58,imagem-aida_5.png,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_5.png,REAL,0.747500,0.252500,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0048.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0048.txt,True,True
AIDA-2026-0049,2026-06-16 12:13:58,imagem-aida_6.png,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_6.png,REAL,0.957500,0.042500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0049.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0049.txt,True,True
AIDA-2026-0050,2026-06-16 12:14:04,imagem-aida_7.png,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_7.png,REAL,0.957500,0.042500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0050.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0050.txt,True,True
AIDA-2026-0051,2026-06-16 12:14:06,imagem-aida_8.png,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_8.png,REAL,0.957500,0.042500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0051.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0051.txt,True,True
AIDA-2026-0052,2026-06-16 12:17:37,imagem-aida_9.png,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_9.png,REAL,0.957500,0.042500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0052.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0052.txt,True,True
AIDA-2026-0053,2026-06-16 12:17:54,imagem-aida_10.png,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_10.png,REAL,0.942500,0.057500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0053.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0053.txt,True,True
AIDA-2026-0054,2026-06-16 12:21:37,imagem-aida.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0054.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0054.txt,True,True
AIDA-2026-0055,2026-06-16 12:21:42,imagem-aida_1.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_1.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0055.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0055.txt,True,True
AIDA-2026-0056,2026-06-16 12:21:44,imagem-aida_2.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_2.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0056.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0056.txt,True,True
AIDA-2026-0057,2026-06-16 12:21:46,imagem-aida_3.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_3.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0057.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0057.txt,True,True
AIDA-2026-0058,2026-06-16 12:21:47,imagem-aida_4.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_4.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0058.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0058.txt,True,True
AIDA-2026-0059,2026-06-16 12:21:47,imagem-aida_5.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_5.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0059.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0059.txt,True,True
AIDA-2026-0060,2026-06-16 12:21:48,imagem-aida_6.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_6.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0060.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0060.txt,True,True
AIDA-2026-0061,2026-06-16 12:21:49,imagem-aida_7.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_7.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0061.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0061.txt,True,True
AIDA-2026-0062,2026-06-16 12:21:51,imagem-aida_8.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_8.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0062.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0062.txt,True,True
AIDA-2026-0063,2026-06-16 12:21:52,imagem-aida_9.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_9.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0063.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0063.txt,True,True
AIDA-2026-0064,2026-06-16 12:21:53,imagem-aida_10.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_10.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0064.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0064.txt,True,True
AIDA-2026-0065,2026-06-16 12:21:55,imagem-aida_11.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_11.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0065.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0065.txt,True,True
AIDA-2026-0066,2026-06-16 12:22:41,ia1.png,,IA/MANIPULADA,0.030000,0.970000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0066.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0066.txt,False,False
AIDA-2026-0067,2026-06-16 12:22:47,imagem-aida_12.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_12.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0067.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0067.txt,True,True
AIDA-2026-0068,2026-06-16 12:22:51,imagem-aida_13.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_13.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0068.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0068.txt,True,True
AIDA-2026-0069,2026-06-16 12:22:52,imagem-aida_14.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_14.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0069.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0069.txt,True,True
AIDA-2026-0070,2026-06-16 12:22:53,imagem-aida_15.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_15.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0070.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0070.txt,True,True
AIDA-2026-0071,2026-06-16 12:22:54,imagem-aida_16.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_16.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0071.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0071.txt,True,True
AIDA-2026-0072,2026-06-16 12:22:55,imagem-aida_17.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_17.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0072.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0072.txt,True,True
AIDA-2026-0073,2026-06-16 12:22:56,imagem-aida_18.jpg,D:\Escola\TCC\aida_modelo\site_api\uploads\imagem-aida_18.jpg,REAL,0.970000,0.030000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0073.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0073.txt,True,True
AIDA-2026-0074,2026-06-16 12:24:14,imagem-aida_19.jpg,,REAL,0.907500,0.092500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0074.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0074.txt,False,False
AIDA-2026-0075,2026-06-16 12:24:30,imagem-aida_11.png,,IA/MANIPULADA,0.142500,0.857500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0075.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0075.txt,False,False
AIDA-2026-0076,2026-06-16 12:26:16,imagem-aida_11.png,,IA/MANIPULADA,0.065000,0.935000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0076.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0076.txt,False,False
AIDA-2026-0077,2026-06-16 12:26:29,imagem-aida_19.jpg,,REAL,0.907500,0.092500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0077.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0077.txt,False,False
AIDA-2026-0078,2026-07-28 09:04:19,nicolascage.jpg,C:\Users\aluno\Downloads\nicolascage.jpg,REAL,0.770000,0.230000,média,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0078.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0078.txt,True,True
AIDA-2026-0079,2026-07-31 08:48:13,ia331.png,dataset\ia\ia331.png,IA/MANIPULADA,0.025000,0.975000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0079.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\AIDA-2026-0079.txt,True,True
0ef13bd4-2655-4cc9-84f5-580e4ba5562d,2026-07-31 08:50:05,0ef13bd4-2655-4cc9-84f5-580e4ba5562d.png,C:\Users\aluno\AppData\Local\Temp\tmpxo06w1ht\0ef13bd4-2655-4cc9-84f5-580e4ba5562d.png,IA/MANIPULADA,0.035000,0.965000,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\0ef13bd4-2655-4cc9-84f5-580e4ba5562d.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\0ef13bd4-2655-4cc9-84f5-580e4ba5562d.txt,False,True
1e30995b-84bd-428e-aa65-09ab8cdda2ed,2026-07-31 11:59:19,1e30995b-84bd-428e-aa65-09ab8cdda2ed.png,C:\Users\aluno\AppData\Local\Temp\tmpec2m3btr\1e30995b-84bd-428e-aa65-09ab8cdda2ed.png,IA/MANIPULADA,0.032500,0.967500,alta,random_forest,D:\Escola\TCC\aida_modelo\saidas\relatorios\1e30995b-84bd-428e-aa65-09ab8cdda2ed.json,D:\Escola\TCC\aida_modelo\saidas\relatorios\1e30995b-84bd-428e-aa65-09ab8cdda2ed.txt,False,True
